millis,, a_y, a_z, g_x, g_y, g_z,f
151523,0.87,1.45,-9.73,0.01,0,0.01,0
151527,0.88,1.45,-9.73,0.01,0,0.01,0
151532,0.91,1.39,-9.77,0.01,0,0.01,0
151537,2.03,2.39,-9.81,0.01,0,0.01,0
151542,14.06,13.95,-13.74,-0.27,0.16,-0.26,0
151549,15.79,39.78,-17.54,-2.31,2.72,-0.43,0
151554,13.11,31.44,4.6,-1.92,3.6,-0.6,0
151559,-14.39,14.71,20.9,0.19,2.62,-0.8,0
151563,-6.81,20.26,3.06,0.48,-1.11,-0.09,0
151568,4.91,19.13,-8.16,-1.08,-2.59,0.86,0
151572,9.66,10.81,-10.55,-0.77,-2.33,1.13,0
151577,6.7,-1.73,-15.31,1.14,-2.09,0.47,0
151582,9.58,-13.24,-36.34,1.71,-0.18,-0.32,0
151586,-0.79,0.06,-8.1,0.17,0.05,0.26,0
151634,0.57,-0.74,-8.6,-0.42,0.08,0.41,0
151639,0.24,-2.71,-9.23,-0.31,0.01,0.42,0
151644,-0.67,-3.96,-9.17,-0.34,0.07,0.4,0
151649,-1.64,-4.06,-8.48,-0.37,0.11,0.4,0
151654,-2.07,-4.15,-8.14,-0.35,0.08,0.41,0
151659,-2.43,-3.96,-8.81,-0.28,0.04,0.41,0
151663,-2.34,-3.48,-9.04,-0.25,0.02,0.43,0
151668,-1.93,-3.1,-9.45,-0.25,0.03,0.42,0
151677,-1.05,-2.8,-9.77,-0.18,0.04,0.4,0
151682,-0.87,-2.56,-10.2,-0.13,0,0.41,0
151689,-0.91,-2.11,-10.55,-0.08,-0.04,0.43,0
151701,-0.43,-0.74,-10.29,-0.05,-0.07,0.43,0
151708,0.2,0.41,-9.56,-0.04,-0.08,0.44,0
151712,0.5,0.94,-8.86,-0.02,-0.08,0.43,0
151717,0.79,0.79,-8.02,0,-0.09,0.43,0
151722,0.91,0.06,-8.09,0.03,-0.1,0.43,0
151728,0.67,-0.82,-7.51,0.05,-0.09,0.42,0
151733,0.82,-0.81,-7.7,0.08,-0.1,0.41,0
151738,0.3,-0.68,-7.95,0.07,-0.1,0.42,0
151742,-0.03,-0.79,-8.38,0.09,-0.11,0.42,0
151747,-0.32,-0.91,-8.57,0.12,-0.12,0.42,0
151752,-0.43,-0.86,-9.49,0.13,-0.12,0.41,0
151757,-0.55,-0.76,-9.94,0.13,-0.12,0.42,0
151761,-0.46,-0.82,-10.44,0.16,-0.13,0.42,0
151767,-0.44,-0.74,-11.5,0.18,-0.15,0.42,0
151771,-0.22,-0.64,-11.78,0.2,-0.15,0.41,0
151777,0.16,0.03,-12.27,0.21,-0.15,0.4,0
151781,0.67,0.77,-12.57,0.19,-0.14,0.4,0
151787,1.15,1.19,-12.04,0.19,-0.14,0.39,0
151792,1.36,1.21,-11.97,0.24,-0.16,0.38,0
151796,1.44,1.48,-11.9,0.25,-0.17,0.39,0
151801,1.38,1.67,-11.78,0.24,-0.17,0.4,0
151806,1.19,1.64,-10.96,0.23,-0.17,0.39,0
151810,1.19,1.82,-10.99,0.24,-0.17,0.38,0
151815,0.94,1.57,-10.33,0.24,-0.18,0.39,0
151821,0.84,1.76,-9.86,0.25,-0.18,0.38,0
151826,0.95,2.02,-9.68,0.23,-0.18,0.38,0
151831,0.97,2.35,-9.51,0.21,-0.17,0.38,0
151835,1.15,2.53,-9.09,0.21,-0.16,0.37,0
151840,1.3,2.52,-9.07,0.21,-0.15,0.35,0
151846,1.52,2.34,-9.35,0.2,-0.15,0.35,0
151850,1.78,2.4,-9.44,0.19,-0.14,0.35,0
151855,1.82,2.72,-9.43,0.17,-0.13,0.34,0
151859,2.16,3.05,-9.8,0.14,-0.1,0.34,0
151864,2.3,3.38,-9.66,0.11,-0.08,0.33,0
151869,2.29,3.62,-9.44,0.11,-0.09,0.33,0
151875,2.23,3.95,-9.94,0.1,-0.1,0.33,0
151880,2.22,3.98,-10.01,0.07,-0.08,0.33,0
151884,2.27,4.15,-9.95,0.04,-0.05,0.32,0
151890,2.42,4.37,-9.72,0.01,-0.04,0.31,0
151895,2.49,4.78,-9.74,-0.01,-0.03,0.3,0
151899,2.58,4.9,-9.56,-0.04,-0.02,0.3,0
151904,2.55,4.85,-9.25,-0.07,0,0.29,0
151909,2.56,4.8,-9.06,-0.09,0.01,0.29,0
151914,2.45,4.58,-9.13,-0.12,0.02,0.28,0
151918,2.44,4.44,-8.93,-0.14,0.03,0.28,0
151923,2.28,4.42,-8.8,-0.17,0.05,0.27,0
151927,2.13,4.16,-8.82,-0.19,0.06,0.27,0
151932,1.99,3.85,-8.63,-0.22,0.07,0.26,0
151937,1.99,3.62,-8.45,-0.24,0.08,0.25,0
151942,1.83,3.44,-8.72,-0.26,0.09,0.25,0
151946,1.8,3.24,-8.56,-0.27,0.1,0.25,0
151950,1.87,3.02,-8.6,-0.28,0.1,0.24,0
151955,1.95,3.01,-9.04,-0.29,0.11,0.24,0
151959,1.96,3.09,-9.15,-0.32,0.13,0.23,0
151964,1.85,2.97,-9.3,-0.34,0.14,0.23,0
151968,1.85,3,-9.48,-0.35,0.15,0.23,0
151976,1.98,3.05,-10.01,-0.37,0.17,0.22,0
151981,1.92,2.93,-10.12,-0.39,0.18,0.22,0
151985,1.9,2.97,-10.57,-0.4,0.19,0.22,0
151990,1.86,2.85,-10.66,-0.4,0.19,0.21,0
151995,1.75,2.43,-11.02,-0.41,0.2,0.21,0
151999,1.71,2.2,-11.11,-0.41,0.2,0.21,0
152004,1.47,1.9,-11.04,-0.42,0.21,0.21,0
152009,1.37,1.77,-11.16,-0.43,0.21,0.21,0
152014,0.99,1.61,-10.9,-0.43,0.22,0.21,0
152019,0.67,1.22,-10.7,-0.42,0.2,0.21,0
152024,0.6,0.98,-10.85,-0.41,0.2,0.21,0
152028,0.39,0.79,-10.51,-0.41,0.21,0.2,0
152032,0.45,0.54,-10.27,-0.42,0.21,0.2,0
152037,0.22,0.56,-10.2,-0.41,0.21,0.2,0
152075,-0.33,0.15,-10.33,-0.33,0.15,0.21,0
152081,-0.15,-0.07,-10.22,-0.32,0.16,0.21,0
152086,-0.29,-0.51,-10.38,-0.29,0.12,0.22,0
