millis, a_x, a_y, a_z, g_x, g_y, g_z
504987,1.96,-0.69,-9.85,0.1,0.1,-0.41
504992,1.87,-0.78,-9.64,0.11,0.11,-0.4
504997,1.76,-0.82,-9.74,0.13,0.1,-0.4
505002,1.59,-0.91,-9.73,0.16,0.1,-0.4
505007,1.53,-0.89,-9.93,0.18,0.11,-0.4
505012,1.26,-1.03,-9.58,0.2,0.12,-0.39
505018,1.27,-1.02,-9.69,0.23,0.12,-0.39
505022,1.28,-0.56,-9.83,0.23,0.13,-0.39
505027,1.42,-0.74,-9.6,0.25,0.13,-0.38
505034,1.28,-0.69,-9.61,0.28,0.15,-0.39
505039,1.48,-0.6,-9.8,0.29,0.14,-0.38
505044,1.43,-0.51,-9.74,0.31,0.16,-0.39
505048,1.54,-0.31,-9.94,0.33,0.16,-0.39
505053,1.23,-0.06,-9.78,0.34,0.16,-0.38
505058,1.38,0.05,-9.95,0.35,0.15,-0.38
505063,1.02,0.08,-9.96,0.35,0.17,-0.38
505068,1.14,-0.25,-10.08,0.37,0.18,-0.38
505072,1.23,-0.2,-10.27,0.38,0.19,-0.38
505078,1.19,0.02,-10.04,0.4,0.18,-0.38
505082,0.96,0.3,-10.18,0.42,0.17,-0.38
505087,0.78,0.56,-10.42,0.42,0.16,-0.38
505092,0.67,0.79,-10.34,0.42,0.18,-0.38
505097,0.79,0.96,-10.25,0.42,0.18,-0.37
505101,0.94,0.72,-10.31,0.43,0.19,-0.38
505106,0.76,1.03,-10.19,0.44,0.19,-0.39
505111,0.57,1.25,-10.24,0.44,0.17,-0.38
505116,0.4,1.24,-10.23,0.44,0.16,-0.37
505121,0.37,1.59,-10.19,0.45,0.16,-0.38
505126,0.54,1.67,-10.2,0.44,0.17,-0.38
505132,0.67,1.74,-10.06,0.44,0.17,-0.38
505136,0.59,1.95,-10.14,0.44,0.16,-0.38
505140,0.59,2.41,-10.08,0.43,0.17,-0.39
505145,0.56,2.48,-10.01,0.4,0.17,-0.38
505149,0.3,2.59,-9.72,0.4,0.17,-0.38
505154,0.26,2.74,-10.02,0.4,0.14,-0.38
505158,0.28,2.79,-9.87,0.4,0.15,-0.39
505162,0.34,2.79,-9.7,0.38,0.16,-0.4
505167,0.17,2.54,-9.7,0.37,0.16,-0.4
505171,0.21,2.38,-9.8,0.37,0.15,-0.4
505175,0.12,2.39,-9.53,0.36,0.15,-0.4
505180,0.2,2.53,-9.61,0.35,0.13,-0.4
505184,0.15,2.58,-9.64,0.34,0.13,-0.39
505188,0.16,2.82,-9.58,0.32,0.13,-0.4
505193,0.22,3.07,-9.65,0.3,0.12,-0.4
505197,0.16,3.14,-9.51,0.29,0.12,-0.4
505202,0.19,3.11,-9.64,0.29,0.11,-0.4
505266,0.65,2.46,-9.75,0.11,0.07,-0.41
505270,0.39,2.2,-9.39,0.11,0.06,-0.41
505275,0.7,2.32,-10,0.1,0.06,-0.42
505280,0.74,1.99,-9.58,0.08,0.08,-0.42
