millis,a_x,a_y,a_z,f,,,
423476,-2.25,0.15,1.56,0,,,
423481,-2.25,0.15,1.56,0,,,
423485,-2.25,0.15,1.56,0,,,
423489,-2.25,0.15,2.54,0,,,
423494,-2.54,0.15,2.54,0,,,
423498,-2.54,0.15,2.54,0,,,
423502,-2.54,0.15,2.54,0,,,
423506,-2.54,0.15,2.54,0,,,
423511,-2.54,-0.68,3.13,0,,,
423515,-2.54,-0.68,3.13,0,,,
423519,-2.54,-0.68,3.13,0,,,
423524,-2.54,-0.68,3.13,0,,,
423528,-2.54,-0.83,2.44,0,,,
423532,-2.39,-0.83,2.44,0,,,
423537,-2.39,-0.83,2.44,0,,,
423614,12.26,5.57,8.4,4095,,,
423618,12.26,5.57,8.4,4095,,,
423622,12.26,5.57,-2.25,4095,,,
423627,1.81,-4.01,-2.25,4095,,,
423631,1.81,-4.01,-2.25,4095,,,
423636,1.81,-4.01,-2.25,4095,,,
423640,1.81,-4.01,-2.25,4074,,,
423644,0.29,-0.1,-0.93,3991,,,
423649,0.29,-0.1,-0.93,3761,,,
423653,0.29,-0.1,-0.93,3504,,,
423657,0.29,-0.1,-0.93,3198,,,
423662,-0.78,0.44,-0.54,2871,,,
423666,-0.78,0.44,-0.54,2369,,,
423670,-0.78,0.44,-0.54,1770,,,
423674,-0.78,0.44,-0.54,1005,,,
423792,0.59,1.86,0.2,0,,,
423796,-0.05,1.32,0.39,0,,,
423801,-0.05,1.32,0.39,0,,,
423805,-0.05,1.32,0.39,0,,,
423809,-0.05,1.32,0.39,0,,,
423814,-0.05,1.27,0.78,0,,,
423818,-0.05,1.27,0.78,0,,,
423822,-0.05,1.27,0.78,0,,,
423827,-0.05,1.27,0.78,0,,,
423831,-0.05,1.27,0,0,,,
423835,-0.2,1.51,0,0,,,
423840,-0.2,1.51,0,0,,,
423844,-0.2,1.51,0,0,,,
423848,-0.2,1.51,0,0,,,
423853,-0.05,1.37,0.15,0,,,
423857,-0.05,1.37,0.15,0,,,
423861,-0.05,1.37,0.15,0,,,
423866,-0.05,1.37,0.15,0,,,
423870,-0.05,1.51,0.1,0,,,
423875,-0.05,1.51,0.1,0,,,
423879,-0.05,1.51,0.1,0,,,
